
email,subject,message
ghjk@gmail.com,fghjkl,cvbn
minakshikane723@gmail.com,Hello!!!,yuiop
minakshikane723@gmail.com,Hello!!!,jkl;'
minakshikane723@gmail.com,fafsg,6445
minakshikane723@gmail.com,fafsg,edfbn
minakshikane723@gmail.com,fafsg,dfsa
minakshikane723@gmail.com,fafsg,dfsa
minakshikane723@gmail.com,fafsg,dfsa
minakshikane723@gmail.com,fafsg,hjkl
minakshikane723@gmail.com,fafsg,hjkl
minakshikane723@gmail.com,fafsg,hjkl
minakshikane723@gmail.com,fafsg,efbn mjukl
minakshikane723@gmail.com,ghj,s64fds45f
minakshikane723@gmail.com,fss,sgm
minakshikane723@gmail.com,Hello!!!,jlsaj
fd@gmail.com,gfd,dgfg
minakshikane723@gmail.com,Hello!!!,dghjkl
minakshikane723@gmail.com,fafsg,dfgh
minakshikane723@gmail.com,Hello!!!,rerer
minakshikane723@gmail.com,ghj,789
minakshikane723@gmail.com,Hello!!!,rerer
